Model,Test Accuracy (%),Per-Class Accuracy (%),Test Loss,Parameters (M)
Custom CNN,95.69200873374939,95.69467110332296,0.14905895292758942,12.95831
ResNet50,95.06601691246033,95.04955354490478,0.15309181809425354,24.656294
MobileNetV2,94.47985291481018,94.40084383930916,0.17304717004299164,2.93335
EfficientNetB0,94.41156387329102,94.40140515916109,0.1655312329530716,4.724937
